if	1405	444	961	44.40%	19.24%	69.78%	30.22%	31.61%	68.39%	
you	4460	1103	3357	110.29%	67.14%	62.16%	37.84%	24.74%	75.26%	
haven’t﻿	26	25	1	4.26%	1.87%	97.38%	2.62%	94.44%	5.56%	
started	61	26	35	3.36%	1.50%	78.32%	21.68%	42.74%	57.26%	
to	6461	1284	5177	128.39%	103.53%	55.36%	44.64%	19.88%	80.12%	
reckon	26	25	1	4.26%	1.87%	97.38%	2.62%	94.44%	5.56%	
about	710	49	661	4.96%	13.27%	27.07%	72.93%	6.96%	93.04%	
tiresome	27	25	2	4.20%	1.82%	96.70%	3.30%	91.07%	8.93%	
online	173	168	5	16.99%	0.39%	99.12%	0.88%	96.84%	3.16%	
dating	433	423	10	42.32%	0.31%	99.42%	0.58%	97.58%	2.42%	
this	1724	267	1457	26.71%	29.15%	47.82%	52.18%	15.51%	84.49%	
is	3712	799	2913	79.89%	58.26%	57.83%	42.17%	21.53%	78.47%	
the	9685	1195	8490	119.49%	169.79%	41.31%	58.69%	12.34%	87.66%	
time	365	44	321	4.52%	6.54%	40.69%	59.31%	12.16%	87.84%	
take	418	131	287	13.19%	5.85%	69.49%	30.51%	31.38%	68.62%	
step	66	51	15	5.77%	1.04%	93.78%	6.22%	76.87%	23.13%	
find	397	300	97	30.05%	2.06%	93.82%	6.18%	75.50%	24.50%	
like	1036	209	827	20.93%	16.57%	55.82%	44.18%	20.20%	79.80%	
there	734	154	580	15.45%	11.65%	57.03%	42.97%	21.02%	78.98%	
are	2630	748	1882	74.79%	37.64%	66.52%	33.48%	28.45%	71.55%	
lots	47	25	22	3.49%	1.47%	84.30%	15.70%	53.13%	46.88%	
of	4031	564	3467	56.40%	69.34%	44.86%	55.14%	14.00%	86.00%	
baby	99	63	36	6.74%	1.21%	89.35%	10.65%	63.50%	36.50%	
boomers	77	76	1	8.14%	0.66%	99.10%	0.90%	98.08%	1.92%	
who	1003	283	720	28.32%	14.44%	66.26%	33.74%	28.24%	71.76%	
facing	32	25	7	3.94%	1.65%	93.34%	6.66%	77.27%	22.73%	
so	1023	180	843	18.03%	16.89%	51.63%	48.37%	17.63%	82.37%	
many	388	161	227	16.19%	4.66%	77.93%	22.07%	41.52%	58.48%	
days	74	26	48	3.23%	1.61%	72.73%	27.27%	35.33%	64.67%	
and	6385	1321	5064	132.09%	101.27%	56.60%	43.40%	20.69%	79.31%	
nights	27	25	2	4.20%	1.82%	96.70%	3.30%	91.07%	8.93%	
alone	91	54	37	5.88%	1.28%	87.54%	12.46%	59.24%	40.76%	
that	3047	337	2710	33.71%	54.20%	38.34%	61.66%	11.07%	88.93%	
first	177	51	126	5.35%	2.79%	66.83%	33.17%	28.93%	71.07%	
now	561	172	389	17.26%	7.86%	68.82%	31.18%	30.69%	69.31%	
don’t	29	26	3	4.18%	1.72%	96.15%	3.85%	88.33%	11.67%	
wait	82	27	55	3.27%	1.69%	70.80%	29.20%	33.13%	66.87%	
any	386	37	349	3.82%	7.09%	34.68%	65.32%	9.69%	90.31%	
longer	65	27	38	3.42%	1.51%	77.61%	22.39%	41.67%	58.33%	
try	451	347	104	34.73%	2.19%	94.25%	5.75%	76.88%	23.12%	
join	82	75	7	8.01%	0.74%	97.59%	2.41%	90.96%	9.04%	
♥	130	128	2	13.08%	0.42%	99.31%	0.69%	98.09%	1.91%	
s	211	90	121	9.19%	2.64%	78.67%	21.33%	42.69%	57.31%	
e	341	312	29	31.25%	0.72%	98.03%	1.97%	91.37%	8.63%	
kβoomer	7	6	1	6.78%	6.27%	90.93%	9.07%	81.25%	18.75%	
hey	65	3	62	1.05%	1.98%	19.94%	80.06%	5.30%	94.70%	
mikey	25	4	21	2.31%	2.33%	48.83%	51.17%	17.31%	82.69%	
