if	3131	2755	376	55.10%	18.81%	74.55%	25.45%	87.98%	12.02%	
you	7026	5794	1232	115.87%	61.60%	65.29%	34.71%	82.46%	17.54%	
haven’t﻿	117	117	0	2.74%	0.42%	99.58%	0.42%	99.58%	0.42%	
started	139	124	15	2.82%	1.10%	76.59%	23.41%	88.93%	11.07%	
to	9382	7275	2107	145.49%	105.34%	58.00%	42.00%	77.54%	22.46%	
reckon	117	117	0	2.74%	0.42%	99.58%	0.42%	99.58%	0.42%	
about	588	327	261	6.61%	13.11%	33.41%	66.59%	55.60%	44.40%	
tiresome	117	117	0	2.74%	0.42%	99.58%	0.42%	99.58%	0.42%	
online	701	700	1	14.05%	0.12%	99.57%	0.43%	99.79%	0.21%	
dating	2275	2269	6	45.38%	0.32%	99.32%	0.68%	99.71%	0.29%	
this	2419	1830	589	36.61%	29.46%	55.41%	44.59%	75.64%	24.36%	
is	5433	4136	1297	82.71%	64.85%	56.05%	43.95%	76.12%	23.88%	
the	9728	6033	3695	120.65%	184.74%	39.51%	60.49%	62.02%	37.98%	
time	306	193	113	4.01%	5.79%	40.62%	59.38%	63.03%	36.97%	
take	1022	905	117	18.13%	5.89%	75.55%	24.45%	88.51%	11.49%	
step	241	237	4	4.93%	0.41%	95.76%	4.24%	98.14%	1.86%	
find	1544	1501	43	30.03%	2.18%	93.29%	6.71%	97.18%	2.82%	
like	1148	802	346	16.07%	17.33%	48.11%	51.89%	69.84%	30.16%	
there	729	487	242	9.80%	12.15%	44.60%	55.40%	66.78%	33.22%	
are	4762	4007	755	80.13%	37.75%	67.97%	32.03%	84.14%	15.86%	
lots	127	118	9	2.73%	0.84%	83.72%	16.28%	92.58%	7.42%	
of	4704	3304	1400	66.08%	70.00%	48.56%	51.44%	70.23%	29.77%	
baby	180	168	12	3.62%	0.87%	84.66%	15.34%	93.09%	6.91%	
boomers	222	222	0	4.64%	0.22%	99.78%	0.22%	99.78%	0.22%	
who	1962	1687	275	33.75%	13.77%	71.04%	28.96%	85.97%	14.03%	
facing	121	118	3	2.75%	0.56%	93.66%	6.34%	97.13%	2.87%	
so	1753	1431	322	28.63%	16.12%	63.99%	36.01%	81.61%	18.39%	
many	604	527	77	10.61%	3.93%	73.21%	26.79%	87.19%	12.81%	
days	157	138	19	3.06%	1.26%	74.24%	25.76%	87.66%	12.34%	
and	9634	7586	2048	151.71%	102.39%	59.70%	40.30%	78.74%	21.26%	
nights	117	117	0	2.74%	0.42%	99.58%	0.42%	99.58%	0.42%	
alone	229	212	17	4.44%	1.06%	83.16%	16.84%	92.39%	7.61%	
that	2350	1336	1014	26.73%	50.70%	34.52%	65.48%	56.85%	43.15%	
